P,S,Q,PF
206.328,208.749,31.6998,0.988403
205.972,208.37,31.5232,0.98849
205.741,208.154,31.6008,0.988409
205.843,208.251,31.5785,0.988436
205.849,208.259,31.5873,0.988431
206.057,208.438,31.415,0.988577
206.049,208.452,31.5607,0.988472
205.971,208.362,31.4736,0.988526
205.677,208.03,31.1981,0.988691
205.749,208.101,31.1943,0.988701
205.831,208.182,31.2026,0.988704
206.029,208.416,31.4494,0.988549
205.981,208.326,31.1669,0.988746
205.926,208.265,31.1264,0.988768
206.067,208.447,31.4051,0.988585
206.031,208.372,31.1444,0.988767
205.819,208.134,30.9566,0.988877
205.931,208.241,30.93,0.988908
205.572,207.889,30.9523,0.988854
205.164,207.464,30.8038,0.988916
205.1,207.411,30.8756,0.988858
204.747,207.066,30.9035,0.9888
204.709,207.004,30.7419,0.988911
204.749,207.084,31.0122,0.988723
204.745,207.024,30.6346,0.988991
204.752,207.047,30.7455,0.988913
204.904,207.207,30.8039,0.988888
204.75,207.023,30.5972,0.989018
204.898,207.208,30.8539,0.988852
204.621,206.878,30.4719,0.989093
204.423,206.763,31.0242,0.988679
204.675,206.954,30.6334,0.988984
204.41,206.67,30.4823,0.989063
204.485,206.766,30.6311,0.988966
204.291,206.532,30.3416,0.98915
204.385,206.62,30.3019,0.989188
204.291,206.546,30.4418,0.989079
204.294,206.523,30.2639,0.989205
204.109,206.381,30.5381,0.988992
204.122,206.383,30.4642,0.989046
204.128,206.38,30.4035,0.989089
204.111,206.356,30.3546,0.989122
203.936,206.181,30.3441,0.989111
203.791,206.036,30.332,0.989104
203.809,206.056,30.3473,0.989095
203.552,205.787,30.2453,0.98914
203.859,206.097,30.2845,0.989145
203.799,206,30.0364,0.989313
203.929,206.126,30.0168,0.98934
203.757,205.956,30.0125,0.989325
203.904,206.126,30.1813,0.989222
203.501,205.71,30.0649,0.989262
203.615,205.796,29.8819,0.989402
203.645,205.822,29.8526,0.989426
203.869,206.065,30.0017,0.989344
203.682,205.865,29.898,0.989398
203.601,205.788,29.9184,0.989375
203.618,205.806,29.9276,0.989371
203.345,205.524,29.8442,0.989401
203.385,205.559,29.8137,0.989426
203.745,205.931,29.9253,0.989385
203.44,205.603,29.7444,0.98948
203.085,205.256,29.7721,0.989425
203.155,205.292,29.5466,0.989589
203.176,205.319,29.5883,0.989562
203.073,205.242,29.7624,0.98943
203.066,205.249,29.8535,0.989366
202.888,205.035,29.5915,0.98953
202.752,204.903,29.61,0.989504
202.778,204.952,29.7759,0.98939
203.053,205.191,29.5421,0.989581
202.929,205.039,29.3425,0.989707
202.756,204.887,29.475,0.989598
202.439,204.584,29.549,0.989514
202.896,204.992,29.2384,0.989776
202.726,204.831,29.2936,0.989721
202.723,204.838,29.3603,0.989674
202.65,204.749,29.2469,0.989745
