P,S,Q,PF
581.348,604.377,165.245,-0.961896
582.177,604.918,164.302,-0.962407
583.036,606.021,165.32,-0.962072
583.75,606.501,164.56,-0.962487
584.68,607.834,166.166,-0.961908
586.171,609.033,165.303,-0.962461
586.526,609.55,165.948,-0.962228
587.413,610.062,164.688,-0.962873
586.93,609.765,165.308,-0.962551
587.65,610.237,164.488,-0.962987
586.883,609.722,165.315,-0.962542
587.604,610.138,164.286,-0.963067
587.868,610.623,165.139,-0.962736
589.743,612.242,164.449,-0.963251
589.704,612.46,165.398,-0.962845
590.753,613.373,165.038,-0.963122
590.364,613.234,165.911,-0.962706
591.359,614.04,165.347,-0.963063
590.75,613.461,165.376,-0.962979
591.612,614.129,164.772,-0.963335
590.736,613.353,165.024,-0.963126
591.496,613.94,164.485,-0.963442
590.91,613.555,165.15,-0.963093
591.795,614.238,164.518,-0.963463
591.233,613.859,165.124,-0.963142
591.952,614.341,164.337,-0.963557
591.421,614.169,165.604,-0.962961
592.21,614.659,164.601,-0.963476
591.969,614.409,164.531,-0.963478
592.522,614.89,164.338,-0.963623
592.062,614.521,164.614,-0.963454
593.037,615.214,163.694,-0.963952
592.998,615.516,164.964,-0.963416
593.449,615.795,164.381,-0.963713
593.97,616.581,165.445,-0.963328
594.492,616.793,164.353,-0.963845
595.34,617.94,165.59,-0.963427
595.666,617.888,164.219,-0.964035
596.457,619.011,165.568,-0.963566
596.427,618.871,165.156,-0.963734
597.152,619.72,165.716,-0.963584
596.485,618.96,165.28,-0.963688
597.511,619.883,165.031,-0.96391
596.921,619.137,164.366,-0.964118
598.001,619.818,162.999,-0.964801
597.788,619.822,163.792,-0.964453
598.306,620.233,163.461,-0.964646
598.245,620.371,164.202,-0.964335
598.697,620.623,163.508,-0.964671
599.065,621.306,164.748,-0.964203
598.727,620.844,164.232,-0.964377
599.4,621.587,164.589,-0.964306
598.605,620.681,164.066,-0.964432
599.28,621.355,164.15,-0.964473
598.713,620.847,164.297,-0.964349
599.707,621.74,164.048,-0.964563
599.554,621.68,164.38,-0.96441
600.167,621.946,163.146,-0.964982
600.487,622.769,165.097,-0.964221
599.951,621.863,163.622,-0.964764
600.567,622.555,163.995,-0.964681
599.661,621.561,163.536,-0.964767
600.97,622.636,162.821,-0.965203
600.544,622.33,163.22,-0.964994
600.846,622.506,162.785,-0.965204
600.877,622.735,163.541,-0.9649
600.474,622.047,162.396,-0.965321
601.509,623.36,163.6,-0.964946
600.958,623.039,164.398,-0.96456
601.84,623.903,164.447,-0.964638
601.329,623.459,164.635,-0.964504
602.201,624.075,163.778,-0.96495
602.536,624.695,164.907,-0.964528
602.06,623.92,163.708,-0.964963
602.577,624.557,164.232,-0.964807
601.788,623.838,164.391,-0.964655
602.83,624.709,163.884,-0.964976
602.483,624.254,163.424,-0.965125
602.959,624.52,162.683,-0.965476
603.248,625.007,163.481,-0.965186
602.62,624.208,162.741,-0.965416
603.634,625.399,163.555,-0.965198
602.764,624.681,164.02,-0.964914
603.459,625.129,163.166,-0.965336
603.425,625.344,164.114,-0.964949
603.497,625.2,163.296,-0.965287
604.051,625.959,164.157,-0.965
603.558,625.591,164.566,-0.96478
604.266,626.019,163.592,-0.965252
603.706,625.473,163.574,-0.965198
603.946,625.484,162.725,-0.965566
