P,S,Q,PF
331.554,331.552,0,-1
331.752,331.718,0,-1
331.952,331.934,0,-1
331.625,331.627,0.996086,-0.999995
331.279,331.263,0,-1
331.395,331.375,0,-1
331.661,331.612,0,-1
331.477,331.465,0,-1
331.743,331.747,1.51296,-0.99999
331.191,331.187,0,-1
330.938,330.925,0,-1
331.471,331.44,0,-1
331.526,331.504,0,-1
331.446,331.406,0,-1
331.311,331.291,0,-1
331.429,331.391,0,-1
331.207,331.197,0,-1
331.258,331.243,0,-1
331.355,331.354,0,-1
331.296,331.273,0,-1
331.236,331.227,0,-1
331.082,331.054,0,-1
331.458,331.44,0,-1
330.753,330.739,0,-1
330.629,330.618,0,-1
331.164,331.149,0,-1
330.762,330.737,0,-1
331.096,331.072,0,-1
331.169,331.148,0,-1
331.456,331.434,0,-1
330.943,330.894,0,-1
331.2,331.173,0,-1
332.025,332.005,0,-1
331.922,331.904,0,-1
331.835,331.839,1.72527,-0.999986
332.009,331.99,0,-1
331.951,331.929,0,-1
332.165,332.151,0,-1
330.954,330.93,0,-1
331.138,331.121,0,-1
330.869,330.878,2.39139,-0.999974
329.959,329.952,0,-1
330.627,330.6,0,-1
330.611,330.588,0,-1
331.006,330.997,0,-1
331.049,331.044,0,-1
331.288,331.277,0,-1
331.453,331.458,1.80061,-0.999985
331.333,331.317,0,-1
331.449,331.457,2.28104,-0.999976
331.462,331.453,0,-1
331.083,331.102,3.55646,-0.999942
330.931,330.924,0,-1
330.687,330.677,0,-1
330.896,330.912,3.2596,-0.999951
330.81,330.805,0,-1
331.16,331.158,0,-1
331.115,331.088,0,-1
331.454,331.442,0,-1
331.341,331.324,0,-1
331.125,331.13,1.97642,-0.999982
330.989,330.994,1.79844,-0.999985
331.096,331.109,2.8367,-0.999963
331.222,331.222,0,-1
331.229,331.227,0,-1
331.378,331.362,0,-1
331.277,331.242,0,-1
331.365,331.375,2.54491,-0.999971
331.488,331.462,0,-1
331.598,331.583,0,-1
331.254,331.246,0,-1
331.33,331.329,0,-1
330.946,330.934,0,-1
331.374,331.375,0.637377,-0.999998
331.511,331.468,0,-1
331.334,331.314,0,-1
332.151,332.148,0,-1
332.728,332.707,0,-1
332.8,332.782,0,-1
332.952,332.948,0,-1
332.496,332.474,0,-1
332.668,332.638,0,-1
332.689,332.653,0,-1
332.351,332.344,0,-1
332.575,332.574,0,-1
332.454,332.431,0,-1
332.64,332.63,0,-1
333.188,333.172,0,-1
333.025,333.022,0,-1
333.221,333.188,0,-1
333.085,333.064,0,-1
333.182,333.169,0,-1
333.379,333.371,0,-1
