P,S,Q,PF
1.17922,4.82104,4.6746,1.#QNAN
1.08453,5.48595,5.37768,1.#QNAN
1.24156,4.70173,4.53484,1.#QNAN
1.08401,5.14493,5.02943,1.#QNAN
1.19146,4.9404,4.79458,1.#QNAN
1.22588,5.78329,5.65187,1.#QNAN
1.00999,4.92861,4.82401,1.#QNAN
1.06209,6.53021,6.44326,1.#QNAN
1.25023,5.08646,4.93042,1.#QNAN
1.02288,4.54403,4.42741,1.#QNAN
1.11869,5.0218,4.89561,1.#QNAN
1.01155,4.85068,4.74404,1.#QNAN
1.10899,4.22039,4.07207,1.#QNAN
1.20827,4.81442,4.66033,1.#QNAN
1.10466,4.04203,3.88815,1.#QNAN
1.1679,5.33266,5.20319,1.#QNAN
1.29006,4.89169,4.71851,1.#QNAN
1.20545,4.45132,4.28499,1.#QNAN
1.3232,4.28983,4.08066,1.#QNAN
1.33152,4.55322,4.35417,1.#QNAN
1.31134,4.92474,4.74694,1.#QNAN
1.1987,4.96609,4.81925,1.#QNAN
1.08575,5.83563,5.73373,1.#QNAN
1.02526,4.92403,4.81611,1.#QNAN
0.848447,4.95116,4.87792,1.#QNAN
1.03016,5.66617,5.57173,1.#QNAN
1.02628,6.15947,6.07337,1.#QNAN
1.0915,4.63387,4.50349,1.#QNAN
1.04733,4.40598,4.27969,1.#QNAN
1.05773,4.89318,4.77749,1.#QNAN
1.10636,4.72066,4.58918,1.#QNAN
1.1782,4.4253,4.26557,1.#QNAN
1.15224,5.13146,5.00042,1.#QNAN
1.05522,4.89115,4.77597,1.#QNAN
1.04863,5.01301,4.9021,1.#QNAN
1.08504,5.0843,4.96718,1.#QNAN
1.06667,5.24781,5.13826,1.#QNAN
1.05968,4.96313,4.84869,1.#QNAN
1.09961,4.67683,4.54572,1.#QNAN
1.2151,4.92994,4.77785,1.#QNAN
1.01301,5.82993,5.74125,1.#QNAN
1.17708,4.59714,4.44389,1.#QNAN
1.00688,6.11134,6.02782,1.#QNAN
1.25925,4.72817,4.5574,1.#QNAN
1.14765,4.82272,4.68418,1.#QNAN
1.07826,5.7517,5.64973,1.#QNAN
1.13299,4.98333,4.85283,1.#QNAN
1.10742,4.92023,4.79399,1.#QNAN
1.06835,4.95181,4.83519,1.#QNAN
1.12659,5.19104,5.06732,1.#QNAN
1.12051,4.81964,4.68758,1.#QNAN
1.04499,4.7276,4.61066,1.#QNAN
1.02293,5.09752,4.99383,1.#QNAN
0.961732,5.37564,5.28891,1.#QNAN
1.10159,5.15195,5.0328,1.#QNAN
1.03893,5.7418,5.64703,1.#QNAN
1.2539,5.02103,4.86194,1.#QNAN
0.924268,4.21795,4.11544,1.#QNAN
1.25916,5.76672,5.62757,1.#QNAN
1.28031,5.46897,5.31699,1.#QNAN
1.27003,5.23375,5.07732,1.#QNAN
1.1175,5.04225,4.91686,1.#QNAN
0.939772,5.44001,5.35822,1.#QNAN
1.24444,4.63504,4.46486,1.#QNAN
1.20343,4.91707,4.76753,1.#QNAN
1.06565,5.10211,4.98959,1.#QNAN
1.01392,4.63935,4.5272,1.#QNAN
1.38362,4.67577,4.46637,1.#QNAN
0.941102,4.47838,4.37838,1.#QNAN
1.26691,6.09793,5.96487,1.#QNAN
1.14377,4.94689,4.81285,1.#QNAN
1.2341,5.25959,5.11276,1.#QNAN
1.04719,4.3068,4.17755,1.#QNAN
1.00256,5.51982,5.42801,1.#QNAN
1.16268,4.48009,4.32659,1.#QNAN
1.24427,4.41914,4.24035,1.#QNAN
1.13077,4.37036,4.22154,1.#QNAN
1.05449,4.49314,4.36764,1.#QNAN
1.21071,5.58986,5.45717,1.#QNAN
1.13869,6.2072,6.10186,1.#QNAN
1.03942,4.62927,4.51107,1.#QNAN
1.17051,5.09578,4.95952,1.#QNAN
1.08992,6.33417,6.2397,1.#QNAN
1.06319,5.17655,5.06619,1.#QNAN
1.15042,5.10816,4.97694,1.#QNAN
0.91478,4.5936,4.50159,1.#QNAN
1.21616,5.13044,4.98421,1.#QNAN
1.19341,4.81837,4.66824,1.#QNAN
1.18358,4.92344,4.77906,1.#QNAN
1.05825,5.1491,5.03918,1.#QNAN
1.16091,4.39103,4.23479,1.#QNAN
1.16287,4.66318,4.51586,1.#QNAN
0.967885,4.85337,4.75588,1.#QNAN
1.043,4.86379,4.75064,1.#QNAN
1.02019,4.26993,4.14627,1.#QNAN
1.0264,4.59625,4.48018,1.#QNAN
1.10372,5.12056,5.00019,1.#QNAN
1.12271,5.13295,5.00866,1.#QNAN
1.20093,4.90059,4.75116,1.#QNAN
1.00209,4.70624,4.59832,1.#QNAN
1.10069,4.36335,4.22224,1.#QNAN
1.08757,4.9699,4.84944,1.#QNAN
1.23051,5.68921,5.55454,1.#QNAN
1.04197,4.30555,4.17757,1.#QNAN
1.20396,4.17984,4.0027,1.#QNAN
0.934403,5.37043,5.28852,1.#QNAN
1.15582,5.21148,5.08169,1.#QNAN
1.29618,5.33269,5.17276,1.#QNAN
0.96896,5.77206,5.69015,1.#QNAN
1.31639,5.22626,5.05775,1.#QNAN
1.12548,4.74037,4.60482,1.#QNAN
1.16722,5.3412,5.21211,1.#QNAN
1.05593,4.51993,4.39486,1.#QNAN
1.02254,4.29028,4.16665,1.#QNAN
1.14709,5.14456,5.01504,1.#QNAN
1.00519,6.00285,5.91809,1.#QNAN
1.07438,5.43334,5.32606,1.#QNAN
1.74963,5.47457,5.18746,1.#QNAN
1.39201,4.49417,4.27316,1.#QNAN
1.58635,5.64071,5.41305,1.#QNAN
1.67298,5.56562,5.30823,1.#QNAN
1.63865,4.53998,4.23393,1.#QNAN
1.45581,5.02452,4.809,1.#QNAN
1.53938,5.02504,4.78345,1.#QNAN
12.2099,13.943,6.73245,1.#QNAN
13.3469,14.0231,4.30184,1.#QNAN
13.404,14.0638,4.2569,1.#QNAN
13.2547,14.1144,4.85082,1.#QNAN
7.73379,10.5655,7.19855,1.#QNAN
1.42805,5.06928,4.86398,1.#QNAN
1.49782,4.81515,4.57626,1.#QNAN
1.4495,4.44369,4.20063,1.#QNAN
1.51383,5.60033,5.39185,1.#QNAN
1.56884,4.47922,4.19549,1.#QNAN
1.62242,4.73779,4.45134,1.#QNAN
1.42488,5.33453,5.14071,1.#QNAN
1.6577,5.27581,5.00861,1.#QNAN
1.53715,6.1144,5.91802,1.#QNAN
1.49726,4.31246,4.0442,1.#QNAN
1.48379,4.95498,4.7276,1.#QNAN
1.55874,5.78004,5.5659,1.#QNAN
1.46301,6.08344,5.9049,1.#QNAN
1.50447,4.38252,4.11619,1.#QNAN
1.55594,4.65625,4.3886,1.#QNAN
1.44313,4.1469,3.88769,1.#QNAN
1.45741,5.24296,5.03633,1.#QNAN
1.44899,5.00944,4.7953,1.#QNAN
1.59709,4.71511,4.4364,1.#QNAN
1.6001,4.70611,4.42573,1.#QNAN
1.56123,5.18694,4.94641,1.#QNAN
1.52075,5.23132,5.0054,1.#QNAN
1.29371,4.10591,3.89677,1.#QNAN
1.52423,4.78328,4.53392,1.#QNAN
1.3645,4.75547,4.55551,1.#QNAN
1.47423,4.43371,4.18144,1.#QNAN
1.54672,5.2365,5.00285,1.#QNAN
1.61672,4.8267,4.54788,1.#QNAN
1.53873,4.50337,4.23234,1.#QNAN
1.62682,4.80998,4.52652,1.#QNAN
1.42542,5.07551,4.87124,1.#QNAN
1.53645,6.21151,6.01849,1.#QNAN
1.50022,5.73226,5.53247,1.#QNAN
1.50436,4.78674,4.54421,1.#QNAN
1.46156,4.97595,4.75646,1.#QNAN
1.52062,5.53096,5.31782,1.#QNAN
1.32916,5.6384,5.4795,1.#QNAN
1.5261,5.17561,4.9455,1.#QNAN
1.6019,4.61002,4.32276,1.#QNAN
1.46891,4.98769,4.76648,1.#QNAN
1.55165,5.44374,5.21792,1.#QNAN
1.6158,4.56669,4.27128,1.#QNAN
1.62901,5.45595,5.20708,1.#QNAN
1.58723,5.54058,5.30836,1.#QNAN
1.76206,4.9961,4.67505,1.#QNAN
1.46271,6.21524,6.04067,1.#QNAN
1.56152,5.36633,5.13412,1.#QNAN
1.38438,5.59077,5.41666,1.#QNAN
1.48581,5.39119,5.1824,1.#QNAN
1.47789,4.98182,4.75756,1.#QNAN
1.57215,5.43265,5.2002,1.#QNAN
1.53779,5.18505,4.95177,1.#QNAN
1.4995,4.75414,4.51147,1.#QNAN
1.26181,4.71061,4.53846,1.#QNAN
1.35883,5.02468,4.83746,1.#QNAN
1.5779,4.81648,4.55068,1.#QNAN
1.53777,4.71372,4.45583,1.#QNAN
1.32858,5.1723,4.99875,1.#QNAN
1.55016,5.04319,4.79904,1.#QNAN
1.39748,5.30719,5.1199,1.#QNAN
1.42813,4.88849,4.67523,1.#QNAN
1.40928,5.11728,4.9194,1.#QNAN
1.41826,5.15703,4.95817,1.#QNAN
1.48984,5.08035,4.85698,1.#QNAN
1.36405,5.01758,4.82861,1.#QNAN
1.57219,5.28697,5.0478,1.#QNAN
1.60363,4.25878,3.94532,1.#QNAN
1.40329,4.76262,4.55118,1.#QNAN
1.54603,4.86551,4.61334,1.#QNAN
1.45809,4.56874,4.32982,1.#QNAN
1.58396,4.43656,4.14417,1.#QNAN
1.57779,4.83734,4.57279,1.#QNAN
1.60528,5.25212,5.00079,1.#QNAN
1.54357,4.56935,4.30074,1.#QNAN
1.38129,5.05155,4.85903,1.#QNAN
1.23563,5.22048,5.07215,1.#QNAN
1.51127,4.8419,4.60001,1.#QNAN
1.42838,5.27134,5.07412,1.#QNAN
1.51806,4.88375,4.64182,1.#QNAN
1.57067,4.72857,4.46008,1.#QNAN
1.50457,5.49091,5.28076,1.#QNAN
1.33675,6.15122,6.00422,1.#QNAN
1.52314,5.22053,4.99339,1.#QNAN
1.47118,4.16315,3.89454,1.#QNAN
1.584,4.44392,4.15203,1.#QNAN
1.47091,5.37591,5.17077,1.#QNAN
1.49583,5.53858,5.33277,1.#QNAN
1.49269,5.49078,5.28399,1.#QNAN
1.54056,6.3283,6.13792,1.#QNAN
1.45755,4.49352,4.25056,1.#QNAN
1.4482,5.35051,5.15079,1.#QNAN
1.38357,6.01558,5.85432,1.#QNAN
1.50873,4.87102,4.63147,1.#QNAN
1.38889,4.32851,4.09964,1.#QNAN
1.32577,4.58169,4.38568,1.#QNAN
1.54794,4.5575,4.28657,1.#QNAN
467.974,757.237,595.322,0.618002
652.145,774.155,417.16,0.842396
125.566,185.148,136.063,0.678189
121.744,182.298,135.686,0.667833
123.225,183.414,135.854,0.671841
123.43,183.443,135.707,0.672851
124.243,183.976,135.686,0.675324
124.838,184.726,136.159,0.6758
124.574,184.456,136.035,0.675357
124.333,184.232,135.951,0.674872
123.467,183.538,135.801,0.672708
123.051,183.455,136.067,0.670743
122.927,183.466,136.195,0.670022
123.17,183.48,135.992,0.671301
123.476,183.747,136.076,0.671987
123.636,183.743,135.925,0.672875
123.942,184.193,136.255,0.672893
124.019,184.16,136.14,0.673431
123.635,183.794,135.995,0.672685
123.2,183.718,136.286,0.670597
122.559,183.138,136.083,0.66922
122.088,182.778,136.024,0.667957
122.032,182.634,135.88,0.668177
121.91,182.63,135.984,0.667524
121.847,182.795,136.262,0.666578
121.632,182.403,135.929,0.666828
121.441,182.306,135.969,0.66614
121.242,182.032,135.779,0.666047
121.116,181.855,135.654,0.666005
120.902,181.799,135.771,0.665031
120.876,181.82,135.822,0.664809
120.581,181.454,135.595,0.664523
120.101,181.357,135.89,0.662234
119.863,180.849,135.422,0.662782
119.422,180.265,135.033,0.662479
119.092,180.097,135.1,0.661266
119.227,180.336,135.3,0.661139
118.903,180.143,135.328,0.660048
118.651,179.955,135.299,0.659335
118.467,179.87,135.347,0.658625
118.487,179.88,135.343,0.6587
118.159,179.859,135.602,0.656951
118.046,179.858,135.699,0.656325
117.567,179.619,135.798,0.654534
117.519,179.491,135.67,0.654734
117.152,179.238,135.653,0.653611
116.72,178.921,135.606,0.652357
116.443,178.742,135.609,0.651457
116.193,178.647,135.697,0.650408
115.953,178.477,135.68,0.64968
115.801,178.189,135.43,0.649879
115.558,178.195,135.646,0.648493
115.295,177.954,135.554,0.647888
115.052,177.811,135.573,0.647044
114.771,177.794,135.787,0.64553
114.563,177.51,135.592,0.645387
114.156,177.135,135.444,0.644461
113.798,176.981,135.544,0.642997
113.426,176.849,135.684,0.641372
113.099,176.642,135.687,0.640272
112.787,176.263,135.454,0.63988
112.514,175.834,135.122,0.639889
112.234,175.792,135.3,0.638449
112.136,175.835,135.439,0.637732
111.881,175.705,135.48,0.636756
111.703,175.513,135.378,0.636437
111.452,175.441,135.492,0.635265
111.199,175.249,135.451,0.634519
111.02,175.23,135.572,0.633571
111.081,175.329,135.651,0.633556
110.988,175.216,135.582,0.633432
110.898,175.124,135.536,0.633256
110.924,175.184,135.593,0.633182
110.928,175.342,135.792,0.632642
110.716,175.25,135.847,0.631764
110.784,175.425,136.019,0.631514
110.504,175.075,135.795,0.63118
110.414,175.091,135.888,0.630612
110.315,174.91,135.736,0.630694
110.274,174.691,135.486,0.631254
110.241,174.638,135.445,0.631255
110.024,174.449,135.378,0.630694
110.044,174.418,135.322,0.630921
109.729,174.08,135.142,0.630337
109.888,174.043,134.964,0.631388
109.988,174.393,135.335,0.63069
110.053,174.46,135.369,0.630818
110.014,174.471,135.414,0.630559
109.971,174.266,135.185,0.631053
110.039,174.482,135.408,0.630662
110.19,174.538,135.357,0.631325
110.094,174.461,135.336,0.631053
109.923,174.468,135.485,0.630044
109.949,174.379,135.348,0.630517
109.885,174.427,135.462,0.629976
109.75,174.312,135.424,0.629617
