P,S,Q,PF
1359.04,1360.8,69.2667,-0.998704
1359.62,1361.5,71.5681,-0.998617
1359.11,1360.95,70.7328,-0.998648
1358.4,1360.23,70.4929,-0.998656
1357.49,1359.32,70.5284,-0.998653
1358.5,1360.32,70.3571,-0.998662
1358.4,1360.2,69.857,-0.99868
1358.26,1360.11,71.0273,-0.998636
1359.24,1361.18,72.4948,-0.998581
1360.37,1362.16,69.8695,-0.998684
1359.71,1361.58,71.4738,-0.998621
1359.38,1361.22,70.6647,-0.998652
1361.38,1363.27,71.7705,-0.998613
1359.8,1361.7,71.967,-0.998602
1360.83,1362.74,72.1968,-0.998596
1360.41,1362.22,70.2149,-0.998671
1361.65,1363.56,72.221,-0.998596
1362.33,1364.19,71.1714,-0.998638
1363.73,1365.53,70.108,-0.998681
1364.32,1366.17,71.1732,-0.998642
1363.19,1365.06,71.2539,-0.998637
1362.55,1364.43,71.597,-0.998622
1361.55,1363.43,71.5498,-0.998622
1361.23,1362.98,69.1999,-0.99871
1361.54,1363.52,73.3911,-0.99855
1360.29,1362.17,71.5236,-0.998621
1360.67,1362.49,70.4148,-0.998664
1362.2,1364.08,71.5647,-0.998623
1362.35,1364.19,70.7681,-0.998654
1362.06,1363.97,72.2063,-0.998598
1361.94,1363.77,70.6771,-0.998656
1362.08,1363.99,72.2279,-0.998597
1361.87,1363.74,71.4064,-0.998628
1360.7,1362.56,71.0484,-0.99864
1361.14,1363.11,73.3187,-0.998552
1360.69,1362.57,71.5315,-0.998621
1359.83,1361.7,71.5017,-0.99862
1361.22,1363.14,72.4137,-0.998588
1361.72,1363.73,74.0642,-0.998524
1362.22,1364.17,72.7642,-0.998576
1362.32,1364.24,72.2876,-0.998595
1362.86,1364.8,72.6696,-0.998581
1362.67,1364.55,71.658,-0.99862
1362.98,1364.98,73.7267,-0.99854
1361.89,1363.74,70.9137,-0.998647
1362,1363.88,71.6886,-0.998618
1363.05,1364.99,72.7771,-0.998578
1363.33,1365.27,72.8303,-0.998576
1362.83,1364.75,72.425,-0.998591
1362.73,1364.63,72.0069,-0.998607
1362.23,1364.14,72.105,-0.998602
1363.85,1365.77,72.5534,-0.998588
1364.84,1366.74,71.98,-0.998612
1364.5,1366.45,73.0171,-0.998571
1363.38,1365.2,70.4876,-0.998666
1362.68,1364.6,72.2945,-0.998596
1362.56,1364.48,72.3257,-0.998594
1363.15,1365.08,72.5414,-0.998587
1363.87,1365.79,72.4112,-0.998594
1364.31,1366.29,73.5196,-0.998551
1364.37,1366.32,72.9023,-0.998576
1365.67,1367.66,73.5935,-0.998551
1365.84,1367.78,73.0009,-0.998575
1367.74,1369.7,73.1343,-0.998574
1367.32,1369.28,73.2504,-0.998568
1367.1,1369.06,73.2701,-0.998567
1366.61,1368.59,73.5773,-0.998554
1366.89,1368.82,72.7393,-0.998587
1367.62,1369.53,72.3239,-0.998605
1367.07,1369,72.6533,-0.998591
1366.94,1368.91,73.5068,-0.998557
1365.01,1366.98,73.4004,-0.998557
1363.65,1365.61,73.1249,-0.998565
1363.41,1365.35,72.8466,-0.998576
1363.78,1365.77,73.7097,-0.998543
