P,S,Q,PF
1363.4,1367.06,99.9631,-0.997323
1364.03,1367.83,101.895,-0.997221
1363.34,1367.05,100.673,-0.997285
1363.57,1367.36,101.748,-0.997228
1363.82,1367.47,99.8399,-0.997331
1363.29,1367.13,102.466,-0.997187
1362.38,1366.11,100.908,-0.997268
1362.23,1366.05,102.192,-0.997198
1362.9,1366.61,100.655,-0.997284
1361.79,1365.53,101.033,-0.997259
1362.4,1366.2,101.857,-0.997217
1362.48,1366.28,101.777,-0.997222
1363.66,1367.4,101.009,-0.997268
1362.8,1366.52,100.864,-0.997272
1363.7,1367.45,101.303,-0.997252
1362.63,1366.35,100.773,-0.997277
1364.24,1368.04,101.899,-0.997222
1362.13,1365.85,100.688,-0.997279
1364.32,1368.11,101.779,-0.997229
1362.82,1366.55,100.92,-0.997269
1364.02,1367.84,102.225,-0.997203
1361.61,1365.32,100.637,-0.99728
1359.63,1363.46,102.088,-0.997193
1357.92,1361.63,100.525,-0.997271
1359.31,1363.11,101.691,-0.997213
1359.92,1363.68,101.134,-0.997246
1360,1363.75,101.084,-0.997249
1359.97,1363.78,101.814,-0.997209
1358.36,1362.11,101.067,-0.997243
1359.37,1363.12,101.04,-0.997249
1359.08,1362.77,100.176,-0.997295
1359.92,1363.71,101.483,-0.997227
1360.51,1364.28,101.307,-0.997239
1359.75,1363.54,101.555,-0.997223
1360.88,1364.66,101.567,-0.997226
1360.97,1364.69,100.725,-0.997272
1363.05,1366.78,100.955,-0.997268
1361.17,1364.88,100.54,-0.997283
1362.4,1366.18,101.64,-0.997229
1365.01,1368.81,101.805,-0.99723
1362.66,1366.37,100.601,-0.997286
1365.05,1368.85,101.85,-0.997228
1363.96,1367.6,99.7497,-0.997337
1364.08,1367.85,101.47,-0.997245
1365.3,1369.01,100.748,-0.997288
1366.1,1369.83,100.944,-0.997281
1367.34,1371.12,101.685,-0.997246
1366.1,1369.74,99.7271,-0.997346
1368.09,1371.88,101.893,-0.997238
1366.45,1370.16,100.736,-0.997294
1365.53,1369.33,101.996,-0.997222
1366.49,1370.3,102.09,-0.997221
1365.23,1368.97,101.171,-0.997265
1365.2,1369.03,102.328,-0.997203
1365.9,1369.56,100.097,-0.997326
1366.15,1370.01,102.815,-0.99718
1366.21,1369.95,101.177,-0.997269
1366.43,1370.23,101.94,-0.997229
1368.19,1371.93,101.189,-0.997276
1366.65,1370.38,100.965,-0.997282
1368.03,1371.77,101.323,-0.997268
1365.69,1369.43,101.066,-0.997273
